text,intent
so my quetsion is regarding the emergency contact number for the campus police or the student health clinic,contacts
what is the way to to requirements for bursary,scholarship
hey dude,greeting
passing mark for test,exam
i need are the financial aid requirements,scholarship
my friend asked me about how to find te faculty of business administration dean's office and i don't know the answer,location
quick question: complain about my result,results
can someone tell me the process for filing a formal grade appeal if i think my professor made a mistake,results
how to to do registration,registration
transfer student deadline for,admission
yo fully funded allowance,scholarship
late semester fee penalty,fees
"have a great rest of your day, i am logging out",bye
"greetings, location of is the quiz held",exam
i need some urgent help with where the heck the freshman orientation is being held today,location
could you please tell me when do we close for holiday,holidays
guide me to to cange hostel,hostel
papeal my mark,results
"greetings, official website",contacts
please let me know navigate to the freshman building is,location
late add dop,registration
"i am ttrying to figure out wow that was really helpful, thanks a million today",thanks
when the post exam break officially starts so i can book my bus ticket home,holidays
"would you mind telling me wow that was really helpful, thanks a million because i am confused",thanks
pls show me the shift for this semester,schedule
"could you shed some light on i am so glad i asked, thanks for the guidance",thanks
so my question is regarding what the syllabus looks like for the introduction to economics class,courses
what courses can i take tomorrow,courses
print my transcript,results
quick question: what is is my calendar,schedule
i need to know my score,results
"i was wondering if you could help me figure out hey guys, hoping someone can answer my questions today",greeting
give me the email,contacts
does anyone know if the dormitories force students to leave during the long winter break,holidays
"i'm totally lost, can you explain how the dormitory assignment process actually works for incoming freshmen",hostel
selam frend,greeting
i am trying to figure out the process for filing a formal grade appeal if i think my professor made a mistake today,results
do you offer software engineering programs,courses
sup give me info on the exit exam dates,exam
yo show me is my calendar,schedule
can i pay registration fee in installments,fees
im a freshman and i really need to know what kind of undergraduate degree programs are currently open for new students,courses
hey leaving the bed space,hostel
how to navigate to digital library,location
can i see the academic timetable,schedule
sup when does the semester end,schedule
i'm a bit stuck trying to understand the exact deadline for submitting the application forms for the dean's list award,scholarship
i need the quiz timings,exam
email address for campus police,contacts
yo where to pay extension fee,fees
what is the deal with if the university provides married student housing or couples dormitories,hostel
yo where is the portal for mark,results
can you direct me to is the campus housing,hostel
im a freshman and i really need to know whether we get consistent wifi and electricity inside the campus accommodation blocks,hostel
yo have a nice day dude,bye
i am trying to figure out what time the comuter architecture test starts tomorrow morning today,exam
steps to to contact university,contacts
i really need to understand how i can fix my routine if the reg portal is showing an error,registration
yo hi {bot} pls,greeting
my prof told me to check if there is a 24/7 help desk number i can call for urgent it support issues,contacts
the exact steps to add or drop a module before the penalty kicks in,registration
ccould you please tell me what is the passing gpa,results
"can someone tell me i totally understand now, appreciate the detailed response",thanks
hey what is the routine for this year,schedule
"im a freshman annd i really need to know i appreciate the help, see you around campus",bye
much appreciated,thanks
hey good morning friend,greeting
could you inform me my transfer status,admission
"im a freshman and i really need to know that perfectly answered my question, cheers",thanks
is there any fee waiver,scholarship
i need is my cgpa,results
kindly i need the lecture hours for postgraduate program,schedule
i'm a bit stuck trying to understand if the university provides married student housing or couples dormitories,hostel
my friend asked me about where i should go to report a broken window or plumbing issuue in my dorm room and i don't know the answer,hostel
where can i find the dormitory,location
so my question is regarding where i can find a legitimmate sponsor to help cover my cost sharing expenses,scholarship
"my friend asked me about alright that makes sense, i'm gonna log off now and i don't know the answer",bye
i have to go now bye bot,bye
change student residence room,hostel
i would like to inquire: plz clarify how to get a bed space,hostel
i have no idea what the strict eligibility criteria are for the need based scholarship program,scholarship
i need some urgent help with what time the computer architecture test starts tomorrow morning,exam
i would like to inquire: explain to me about registration,registration
can you explain when the continuous assessment period is supposed to start according to the scheduel for me please,schedule
i need details on where i can get clearance to finally register for my classes as soon as possible,registration
what happens if i forget to register before the system closes,registration
i am trying to figure out what the exact dates are for the academic calendar this year today,schedule
tell me the school fe,fees
can you explain what thed irect phone number is for the main registrar's office for me please,contacts
i'm a bit stuck trying to understand how i am supposed to get to the engineering building from the main librery,location
please guide me on the physical p.o. box or zip code i should use if i want to mail a document to the admin,contacts
could you shed some light on what kind of undergraduate degree programs are currently open for new students,courses
"can you explain i appreciate the help, see you around campus for me please",bye
well hi there bot,greeting
pls inform me how to get stipend,scholarship
could you shed some light on the specific clearance process i have to follow when moving out of the hsotel,hostel
"so my question is regarding brilliant, i appreciate you sorting that out for me",thanks
i'm a bit stuck trying to understand how much the actual cost sharing fee is for regular undergraduate students,fees
i am trying to figure out where i can find the academic calendar that outlines all the semester rest days today,holidays
"hey bot, i need some quick advice about how i am supposed to get to the engineering building from the main librery",location
"i need etails on that's all i needed to know, goodbye for now as soon as possible",bye
sup change student residence room,hostel
"i am lookking for information on have a great rest of your day, i am logging out",bye
how exactly do i handle if we actuallly have any classes schedueld during the upcoming holiday week,schedule
quick question: cmplain about my grade,results
"i need details on okay perfect, thank you for taking the time to explain as soon as possible",thanks
sup can you list the available majors,courses
pls inform me how do i get to the dormitory is,location
kindly which building is th efinance office in,location
can you help me find the laboratory,location
can you help me find the main gate,location
selam,greeting
good evening man,greeting
"hey there, i aam trying to find out that's all i needed to know, goodbye for now",bye
kindly i need to know navigate to the campus is,location
could you please tell me is the test hard,exam
my friend asked me about what the exact formula is to correctly calculate my cumulative gpa and i don't know the answer,results
bye dude,bye
explain to me about stipedn,scholarship
does anyone know where i need to take my bank slip to get financial cleaance from the admin,fees
my prof told me to check where i can securely check my semester grades online through the student portal,results
"i am looking for info on that is exactly what i was looking for, much obliged",thanks
explain to me about add drop,registration
many thanks friend,thanks
is the exam hadr,exam
how to to rent for campus housing,hostel
excellent,thanks
could you please tell me check my honor roll,results
does anyone know if non-boarding students are ever allowed to stay in the dorms overnight,hostel
ca you explain how i can fix my routine if the reg portal is showing an error for me please,registration
could you please tell me inform me the contact info,contacts
can i see days of the week do we have the business tutorial,schedule
please guide me on what a failing f grade does to my overall academic standing and honor roll chances,results
wsg today,greeting
is the test ard,exam
i need the routine for phd program,schedule
can you explain what the scheduel looks like for the annual university sports week and cultural day for me please,holidays
quick question: what is is the email for clinic,contacts
quick question: plz explain to me where to register,registration
i need time does the class end,schedule
could you let me know how to get grant,scholarship
list is the next ceremony,holidays
wow thanks,thanks
kindly when does the semester end,schedule
which building is the book store in,location
peace out,bye
if the library and cafeterias stay open during the mid semester reading week,holidays
quick question: give me the date of is the semester event,holidays
"do you happen to know awesome, thanks for the clarification on that",thanks
"im a freshman and i really need to know hey, i could really use some help navigating the university stuff",greeting
help desk number,contacts
my friend asked me about which building houses the finance office so i can pay my tuition and i don't know the answer,location
i'm a bit stuck trying to understand if the librery and cafeterias stay open during the mid semester reading week,holidays
im a freshman and i really need to know if there is a comprehenive staff directory where i can find my professor's contact info,contacts
"i need details on i have no more questions right now, so peace out as soon as possible",bye
can you explain why my final mark for data structures is showing up as missing on the system for me please,results
just a quick question: the rules regarding bringing heavy electrical appliances into the campus housing,hostel
list disciplines are available in the software engineering college,courses
leaving the dorm,hostel
kindly i want to know how to get sponsor,scholarship
i was wondering if you could help me figure out if non-boarding students are ever allowed to stay in the dorms overnight,hostel
how to navigate to admin building,location
what classes are offered in accounting,courses
good job,thanks
list is the next weekend,holidays
"i'm totally lost, can you explain if the university admission office accepts late applications under special circumstances",admission
is it true that is there a human or a bot here to help me,greeting
hey where to find the contact info,contacts
can you explain where i can print out a physical copy of my daily class routine for me please,schedule
can i see the academic shift,schedule
yo print my honorr oll,results
hi there assistant,greeting
"greetings, timing for is the sign up period",registration
"could you shed some light on wow that was really helpful, thanks a million",thanks
i need some urgent help with how the formal admission process works for students transferring from another university,admission
is it true that how i can request a student copy of my transcript for personal use,results
i am trying to figure outwhere i need to take my bank slip to get financial clearance from the admin today,fees
weekly lecture hours for freshmen,schedule
please explain to me where can i find the library is,location
hi i am a new student here dude,greeting
have a nice day mate,bye
i have no idea what the syllabus looks like for the introduction to economics class,courses
i'ma bit stuck trying to understand where i can print out a physical copy of my daily class routine,schedule
give me the course outline for computer science,courses
financial support for students,scholarship
i need details on how i can fix my schedule if the reg portal is showing an error as soon as possible,registration
im a freshman and i really need to know if online enrollment is still open for us this semester,registration
give me are the core fields of study,courses
awesome man,thanks
i would like to inquire: what time is is the clearance portal,registration
just a quick question: the exact location of the campus cafeteria that serves vegan food,location
what is is the next event,holidays
leave dude,bye
i want to know my placement status,admission
please show me how to get a room,hostel
could you shed some light on how i can apply for postgraduate admission if i already have my bachelor's degree,admission
would you mind telling me how i can find the official email address for the head of the computer science dept because i am confused,contacts
"i'm totally lost, can you explain where i can get clearance to fianlly register for my classes",registration
can i see hte academic shift,schedule
could you please tell me what time is is the semester break,holidays
i really need to understand the exact location of the campus cafeteria that serves vegan food,location
i'm a bit stuck trying to understand what happens to my reg status if i have an oveerdue penalty payment,fees
sup can you direct me to the toilet,location
could you please clarify what the exact formula is to correctly calculate my cumulative gpa,results
quick question: where to see my result,results
could you please tell me where is the portal for grade,results
could you shed some light on when my software engineering lecture is supposed to happen tomorrow,schedule
"i'm a bit stuck trying to undrstand you are a lifesaver, thanks bot",thanks
oy do you offer fund,scholarship
i am trying to figure out if the cs department has any artificial intelligence electives this term today,courses
how exactly do i handle if the examination period is going to clash with the campus cultural week,exam
i am trying to figure out if we get any days off classes to celebrate national public holidays like eid or christmas today,holidays
could you give me info on where to register,registration
could you please tell me is there any fee waiver,scholarship
what time is is the extension fee deadline,fees
"greetings, requirements forentrance exam",admission
do you offer mechanical engineering degrees,courses
could you shed some light on where i need to take my bank slip to get financial clearance from the admin,fees
wht is is the campus housing fee,hostel
"hey there, i am trying to find out which specific bank account number i should use to transfer my dorm and cafeteria fees",fees
list is the clearance deadline,registration
"greetings, what time is is the cafeteria fee daedline",fees
print ym result,results
yo how to get my score,results
is anyone there pls,greeting
would you mind telling me what happens to my registration status if i have an overdue penalty payment because i am confused,fees
what's up man,greeting
"hey bot, i need some quick dvice about have a great rest of your day, i am logging out",bye
i really need to understand whether the supplementary exams happen before or after the semester break,exam
"please guide me on that perfectly answered my question, cheers",thanks
"hey there, i am trying to find out when my software engineering lecture is supposed to happen tomorrow",schedule
"i'm totally lost, can you explain what i need to do if i urgently want to change my current hostel room",hostel
sup schedule for is the sign up schedule,registration
hey i am lost can you help assistant,greeting
i am looking for information on good morning to whoever is managing this chat,greeting
the specific clearance process i have to follow when moving out of the hostel,hostel
i am looking for information on what happens if i forget to register before the system closes,registration
"i need details on that perfectly answered my question, cheers as soon as possible",thanks
well later man,bye
i am trying to figure out what the specific date is for the upcoming graduation ceremony event today,holidays
i have no idea when the actual test dates for the midterms will be officially announced,exam
i am trying to figure out how the formal admission process works for students transferring from another university today,admission
"i'm totally lost, can you explain if online enrollment is still open for us this semester",registration
"i appreciate the help, see you around campus",bye
"that is exactly what i was looking for, much obliged",thanks
give me the date of is the cafeteria fee deadline,fees
"greetings, how can i to contact epartment head",contacts
could you please tell me list regular courses are available,courses
"so my question is regarding i am so glad i asked, thanks for the guidance",thanks
schedule for is the clearance requirements,registration
quick question: is tomorrow a rest day,holidays
i m trying to figure out what the exact dates are for the academic calendar this year today,schedule
"i'm totally lost, can you explain got it, i will reach out later if i need more info. bye",bye
i am looking for information on if the university admission office accepts late applictaions under special circumstances,admission
would you mind telling me if the examination period is going to clash with the campus cultural week because i am confused,exam
email address for university,contacts
could you please tell me can you help me find the registrar office,location
i was wondering if you oculd help me figure out when the absolute final deadline is for paying this semester's tuition without a penalty,fees
please show me my entrance exam status,admission
my prof told me to check when the academic records office will finally release the graduation results,results
im a freshman and i really need to know if i can take a minor in business administration alongside my engineering degree,courses
how can i to do sign up,registration
i'm a bit stuck trying to understand where i can download the complete course catalog for the upcoming academic year,courses
"hey bot, i need some quick advice about what the strict eligibility criteria are for the need based scholarship program",scholarship
could you please clarify if non-boarding students are ever allowed to stay in the dorms overnight,hostel
ewekly class times for freshmen,schedule
"could you shed some light on thanks for the chat, i have to run to my next class",bye
so my qustion is regarding if there is a specific fee waiver available for students with recognized disabilities,scholarship
"can someone tell me that's all i needed to know, goodbye for now",bye
kindly what is the passing gpa,results
where can i find is the dorm,hostel
"greetings, give me the date of is the registration fee deadline",fees
"i'm totally lost, can you explain what happens if i forget to regiter before the system closes",registration
i would like to inquire: bank account for cafeteria fee,fees
i'm a bit stuck trying to understand where i log in to check my official admission status or moe placement result,admission
i'm a bit stuck trying to understand whether there are any special campus events planned for the alumni homecoming weekend,holidays
kindly schedule for will honor roll be out,results
where i can get clearance to finally register for my classes,registration
where i can securely check my semester grades online through the student portal,results
mch appreciated man,thanks
yo i need are the sponsor requirements,scholarship
show me about transfer,admission
i would liek to inquire: plz i want to know the lecture hours for the weekend,schedule
i need some urgent help with if i can take a minor in business administration alongside my engineering degree,courses
date for is the easte event,holidays
"i'm totally lost, can you explain if there is a comprehensive staff directory where i can find my professor's contact info",contacts
can you explain what original documents i need to physically bring during the new student enrollment for me please,admission
yo freshman clearnace,registration
is it true that why my final mark for data structures is showing up as missing on the system,results
do you happen to know where i can securely check my semester grades online through the student portal,results
"i was wondering if you could help me figure out that's all i needed to know, goodbye for now",bye
just a quick question: what documents are absolutely required when applying for the campus bursary grant,scholarship
could you please tell me lecture times for mechanical engineering,schedule
i need some urgent help with who i should contact if i have a serious complaint about a specific faculty member,contacts
"i am trying to figure out you are a lifesaver, thanks bot today",thanks
my friend asked me about if the university offers any fully funded sponsorship opportunities for international students and i don't know the answer,scholarship
quick question: plz explain the fee structure,fees
timing for is the enrollment period,registration
could you please tell me i need is my gpa,results
"can someone tell me wow that was really helpful, thanks a million",thanks
could you please tell me what time is is the add drop dates,registration
quick question: how to navigate ot campus,location
does anyone know how many credit hours i need to take to graduate from the pharmacy program,courses
i am looking for information on when the cotinuous assessment period is supposed to start according to the routine,schedule
am i damitted,admission
my friend asked me about when the continuous assessment period is supposed to start according to the scheduel and i don't know the answer,schedule
im a freshman and i really ened to know what happens if i forget to register before the system closes,registration
could you please tell me where is the clinic,location
"i need details on wow that was really helpful, thanks a million as soon as possible",thanks
email address for damin,contacts
i would like to inquire: process for to get stipend,scholarship
do you happen to know what the specific date is for the upcoming graduation ceremony event,holidays
i am trying to figure out which specific bank account number i shouldu se to transfer my dorm and cafeteria fees today,fees
"i'm totally lost, can you explain where i can find the timetable for my upcoming continuous assessments and quizzes",exam
cloose bot,bye
would you mind telling me if the cs department has any artificial intelligence electives this term because i am confused,courses
"i need details on thank you so umch, you saved me a trip to the admin office as soon as possible",thanks
"just a quick question: hello, i am a new student and i need some assistance",greeting
weekly schedulef or freshmen,schedule
could you please tell me where to find the support,contacts
"my prof told me to check okay i am done asking questions, shutting down the chat",bye
my friend asked me about if there is any chance to take a make up exam if i get sick during finals week and i don't know the answer,exam
"ccan you explain you are a lifesaver, thanks bot for me please",thanks
what timee is is the cafeteria fee deadline,fees
yo what are is the reggistration deadline,registration
quitp ls,bye
entrance exam for reistration,admission
thanks bye today,bye
would you mind telling me if there is a 24/7 help desk number i can call for urgent it support issues because i am confused,contacts
give me time does the class end,schedule
"hey there, i am trying to find out if sel fsponsored students have a different enrollment process",registration
im a freshman and i really need to know how much the annual fee is for staying in the official student residence,hostel
hey give me is the national exam results,exam
could you please clarify when the academic records office will finally release the graduation results,results
i need the curriculum for medicine,courses
i need is the next holiday,holidays
could you please clarify the physical p.o. box or zip code i should use if i want to mail a document to the admin,contacts
so my question is regarding how the comprehensive exam is structured for graduating seniors,exam
chang dorm room,hostel
can someone tell me how course registration works for freshmencoming in this year,registration
hey now,greeting
how exactly do i handle where i log in to check my official admission status or moe placement result,admission
give me is the admission portal for,admission
call the campus oplice,contacts
i need details on whether we get consistent wifi and electricity inside the campus accommodation blocks as soon as possible,hostel
i am trying to figure out what afailing f grade does to my overall academic standing and honor roll chances today,results
nice one ude,thanks
i'm a bit stuck trying to understand where i should go to report a broken window or plumbing issue in my dorm room,hostel
sup call the it support,contacts
lecture times for medicine,schedule
my friend assked me about if i can take a minor in business administration alongside my engineering degree and i don't know the answer,courses
leaving the accommodation,hostel
would you mind telling me how i can request a student copy of my transcript for personal use because i am confused,results
i need details on where the heck the freshman orientation is being held today as soon as possible,location
plz give me the support,contacts
exit,bye
"can you explain you are a lifesaver, thanks bot for me please",thanks
where to pay tuition,fees
can someone tell me greetings from a confused first year student,greeting
would you mind telling me how much the actual cost sharing fee is for regular undergraduate students because i am confused,fees
could you please tell me class timings could you,schedule
i was wondering if you could help me figure outw hat original documents i need to physically bring during the new student enrollment,admission
my friend asked me about what the routine looks like for the annual university sports week and cultural day and i don't know the answer,holidays
bye now,bye
yo i needd the routine for degree program,schedule
i have no idea the rules regarding bringing heavy electrical appliances into the campus housing,hostel
i'm a bit stuck trying to understand if there is a non-refundable application fee required before submitting my forms,admission
when is is teh comprehensive exam,exam
yo m i registered,registration
how to reach out directly to the president's office for a formal academic inquiry,contacts
im a freshman and i really need to know what happens if i forget to register before the system closes,registration
yo show me the quiz dates,exam
show me is the application requirements for,admission
hey i need to know about allowance,scholarship
my friend asked me about if female students have access to any exclusive financial support programs and i don't know the answer,scholarship
is the dormitory nearby,location
just a quick question: how the dormitory assignment process actually works for incoming freshmen,hostel
please guide me on how the dormitory assignment process actually works for incoming freshmen,hostel
"do you happen to know where the university posts its official announcements, like a telegram channel or facebook page",contacts
i was wondering if you could help me figure out how much the annual fee is for staying in the official student residence,hostel
hey give me the physical address of the economics department,location
"i need details on thanks for your time, i am leaving the session as soon as possible",bye
i would like to inquire: transfer student status of,admission
i need details on how i can get a copy of my official transcript for an external internship application as soon as possible,results
could you please tell me could you let me know where to locate the library is,location
could you please clarify the exact steps to add or drop a module before the penalty kicks in,registration
kindly show me departments do you have,courses
morning today,greeting
can you explain is there a human or a bot here to help me for me please,greeting
how can i to contact clinic,contacts
what classes are offered in social sciences,courses
i am looking for the dormitory,location
official website,contacts
just a quick question: what the specific date is for the upcoming graduation ceremony event,holidays
"how exactly do i handle that's all i needed to know, goodbye for now",bye
yo email address for dean,contacts
i really need to understand if there is a non-refundable application fee required before submitting my forms,admission
can you explain how i can apply for postgraduate admission if i already have my bachelor's degree for me please,admission
im a freshman and i really need to know how i can request a student copy of my transcript for personal use,results
"i am looking for information on brilliant, i appreciate you sorting that out for me",thanks
can you explain if i can take a minr in business administration alongside my engineering degree for me please,courses
my friend asked me about what the direct phone number is for the main registrar's office and i don't know the answer,contacts
would you mind telling me if we get any days off classes to celebrate national public holidays like eid or christmas because i am confused,holidays
well talk to you latter mate,bye
"i need some urgent help with okay perfect, thank you for taking the time to explain",thanks
kindly explain to me the class times for tomorrow,schedule
hey is there a dormitory,hostel
sup list is the midterm timetable,exam
list is my shift,schedule
is there class tomorrow,holidays
i really need to understand if the examination period is going to clash with the campus cultural week,exam
im confused about if we actually have any classes scheduled during the upcoming holiday week,schedule
hey,greeting
my friend asked me about what time the computer architecture test starts tomorrow morning annd i don't know the answer,exam
i need is my schedule,schedule
sup what are is the quiz passing mark,exam
how can i to fee for accommodation,hostel
i am looking for info on how i can generate a digital payment receipt after paying via cbe birr or telebirr,fees
going offline toady,bye
how can i to contact admin,contacts
please guide me on how i can generate a digital payment receipt after paying via cbe birr or telebirr,fees
please guide me on where i can print out a physical copy of my daily class routine,schedule
could you please tell me give me is the enrollment deadline,registration
i was wondering if you could help me figure out if online enrollment is still open for us this semester,registration
does anyone know when the continuous assessment period is supposed to start according to the scheduel,schedule
just a quick question: the easiest way to navigate to thee student clinic if i am coming from the dorms,location
i was wondering if you could help me figure out if master's degree students have a completely different fee structure than undergrads,fees
i was wondering if you could helpp me figure out if female students have access to any exclusive financial support programs,scholarship
ok thanks man,thanks
is it true that how course reg works for freshmen coming in this year,registration
i am looking for info on how to reach out directly to the president's office for a formal academic inquiry,contacts
what time the afternoon tutorial for applied mathematics usually ends,schedule
if i can take a minor in business administration alongside my engineering degree,courses
i am trying to figure out if there is a specific fee waiver available for students with recognized disabilities today,scholarship
official weebsite,contacts
ok is this the student information bot today,greeting
quick question: is there any grant,scholarship
could you please tell me how much is the tuition,fees
do you offer fee waiver,scholarship
i need some urgent help with the easiest way to navigate to the student clinic if i am coming from the dorms,location
am i admitted,admission
"i need details on hello campus assistant, i need your guidance as soon as possible",greeting
would you mind telling me just popping in to asy hi and ask a quick thing because i am confused,greeting
i have no idea how i can get a copy of my official transcript for an external internship application,results
how to get my result,results
what is the deal with what the syllabus looks like for the introduction to economics class,courses
i would like to inquire: help desk number,contacts
i would like to inquire: where to locate is the national exam held,exam
could you please clarify how i can generate a digital payment receipt after paying via cbe birr or telebirr,fees
could you please clarify if the weekend extension program follows the exact same semestr calendar,schedule
my friend asked me about what a failing f grade does to my overall academic standing and honor roll chances and i don't know the answer,results
i need details on what happens to my reg status if i have an overdue penalty payment as soon as possible,fees
my friend asked me about where the digital librery is situated compared to the regular book store and i don't know the answer,location
where is the portal for score,results
"is it true that wow that was really helpful, thanks a million",thanks
"please guide me on hey, i could really use some help navigating the university stuff",greeting
give me the date of will student copy be out,results
give me info on the costs haring,fees
clarify about clearance,registration
im a freshman and i really need to know how course registration works for freshmen coming in this year,registration
how exactly do i handle when the absolute final deadline is for paying this semester's tuition without a penalty,fees
how to navigate to campus,location
could you please tell me where to pay registration fee,fees
"i'm totally lost, can you explain whether the supplementary exams happen before or after the semester break",exam
please print my honor roll,results
adios mate,bye
i need some urgent help with which specific bank account number i should use to transfer my dorm and cafeteria fees,fees
i am looking for info on where the digital librery is situated compared to the regular book store,location
could you please tell me fully funded scholarship,scholarship
can someone tell me if online enrollment is still open for us this semester,registration
schedule for is the fund deadline,scholarship
i'm a bit stuck trying to understand what subjects are considered mandatory core modules for my freshman year,courses
thank you for the information man,thanks
what's up now,greeting
i am looking for info on when the academic records office will finally release the graduation results,results
selam bot,greeting
i would like to inquire: give me days of the week do we have the computer science tutorial,schedule
how to join the univversity,admission
i was wondering if you could help me figure out when the actual test dates forthe midterms will be officially announced,exam
does anyone know what subjects are considered mandatory core modules for my freshman year,courses
excellent pls,thanks
i was wondering if you could help me figure out what i should do because i completely missed the late reg deadline,registration
"just a quick question: okay i am done asking questions, shutting downt he chat",bye
"my friend asked me about hi there, are you available to chat for a minute and i don't know the answer",greeting
"hey bot, i need some quick advice about the difference betwee the software engineering and regular cs majors",courses
what is are the core modules,courses
wonderful assistant,thanks
timing for does enrollment start,admission
where is is my timings,schedule
well i am logging off goodbye mate,bye
i would like to inquire: what time is is the clearance dates,registration
i'm a bit stuck trying to understand where the digital librery is situated compared to the regular book store,location
smmer vacation dates,holidays
could you please tell me show me is the next hliday,holidays
can someone tell me whether the supplementary exams happen before or after the semester break,exam
missing transcript complaint,results
thanks fo rhelping pls,thanks
is tomorrow a closure,holidays
"i'm totally lost, can you explain good morning to whoever is managing this chat",greeting
hi can you provide me with some info today,greeting
im confused about what kind of undergraduate degree prgorams are currently open for new students,courses
kindly help desk number,contacts
"hey bot, i need some quick advice about what happens if i forget to register before the system closes",registration
could you please clarify which specific bank account number i should use to transfer my dorm and cafeteria fees,fees
what is the deal with where i need to take my bank slip to get financial clearance from the admin,fees
give me info on about bed space,hostel
i need thet imings for degree program,schedule
kindly bank account for cost sharing,fees
i really need to nderstand what the specific date is for the upcoming graduation ceremony event,holidays
what are is the office contact for president,contacts
let me know the school fee,fees
my prof told me to check where the heck the freshman orientation is being held today,location
i need to know the final dates,exam
kindly timing for is the cost sharig deadline,fees
freshman sign uup,registration
im a freshman and i really need to know if i can easily change my assigned dept after i get conditionally admitted,admission
yo man,greeting
pls show the test timetable,exam
"hey bot, i need some quick advice about greetings from a confused first year student",greeting
"i'm a bit stuck trying to understand thank you so much, you saved me a tripp to the admin office",thanks
quicck question: how to to contact registrar,contacts
can someone tell me how i am supposed to get to the engineering building from the main librery,location
my prof told me to check when the continuous assessment period is supposed to start according to the routine,schedule
kindly navigate to is my schedule,schedule
i need details on the exact deadline for submitting the application forms for the dean's list award as soon as possible,scholarship
clarify the rest day calendar,holidays
how much is the extension fee,fees
transfer student criteria for,admission
let me know the vacation calendar,holidays
"i was wondering if you could help me figure out thanks for your time, i am leaving the sessin",bye
explain to me how to get a campus housing,hostel
im confused about who i should contact if i have a serious complaint about a specific faculty member,contacts
dat for is the cost sharing deadline,fees
can you explain the rules regarding bringing heavy electrical appliances into the campus housing for me please,hostel
my friend asked me about where i can download the complete course catalog for the upcoming academic year and i don't know the answer,courses
sup show me is myy calendar,schedule
"how exactly do i handle hi there, are you available to chat for a minute",greeting
is computer science a major here,courses
could you please clarify how to find the faculty of business administration dean's office,location
is the admin building nearby,location
i need details on where i can download the complete course catalog for the upcoming academic year as soon as possible,courses
is it true that if the librery and cafeterias stay open during the mid semester reading week,holidays
"my prof told me to check thank you so much, you saved me a trip to the admin office",thanks
can you explain the easiest way to navigate to the student clinic if i amc oming from the dorms for me please,location
please guide me on where i log in to check my official admission status or moe placement result,admission
yo let me know my entrance exam status,admission
can you explain what the exact formula is to correctly calculate my cumulative gpa for me please,results
let me know the tuition,fees
timing for is the tuition deadline,fees
give me is the support for registrar,contacts
where is block 5 situated,location
log out,bye
i need to know about the economics degree,courses
could you please telll me is there any fee waiver,scholarship
my friend asked me about how i can find the official email address for the head of the computer science dept and i don't know the answer,contacts
i have no idea how the formal admission process works for students transferring from another university,admission
what is the routine for mondays,schedule
if the dormitories force students to leave during the long winter break,holidays
"hey bot, i need somequick advice about where the registrar office is actually located on the main campus",location
so my question is regarding how much the actual cost sharing fee is for regular undergraduate students,fees
thanks bye dude,bye
would you mind telling me what subjects are considered mandatory core modules for my freshman year because i am confused,courses
"greetings, i need disciplines are available in the law college",courses
is it true that if there is a comprehensive staff directory where i can find my prof's contact info,contacts
i am looking for the cafeteria,location
how exactly do i handle what the cut off mark or passing point is for the national entrance exam this year,admission
hey can i see is the application process of,admission
do you happen to know how i can fix my scheduel if the reg portal is showing an error,registration
"i am looking for information on got it, i will reach out later if i need more info. bye",bye
could you shed some light on if we actually have any classes routined during the upcoming holiday week,schedule
yo date for does registration start,admission
can you explain how much the actual cost sharing fee is for regular undergraduate students for me please,fees
appeal my honor roll,results
can i see courses do you have,courses
quit,bye
summer vcation dates,holidays
i need is the add drop deadline,registration
i would like to inquire: dorm assigmnent,hostel
"hey there, i am trying to find out if the university provides any sort of monthly stipend or living allowance",scholarship
quick question: can i see disciplines are available in the accounting college,courses
my prof told me to check good morning to whoever is managing this chat,greeting
hey kindly print m student copy,results
ennd chat bot,bye
could you please clarify when the post exam break officially starts so i can book my bus ticket home,holidays
im confused about if someone can give me directions to the university stadium or sports complex,location
"does anyone know brilliant, i appreciate you sorting that out for me",thanks
"hey there, i am trying to find out when the university officially closes down for the long summer vacation break",holidays
cheers mate,thanks
give me the physical address of the computer science department,location
when is doe entrance exam start,admission
im a freshman and i really need to know the emergency contact number for the campus police or the student health clinic,contacts
could you please clarify how i can get a copy of my official transcript for an external internship application,results
so my question is regarding if the cs department has any artificial intelligence electives this term,courses
"so my question is regarding okay perfect, thank you for taking the time to explain",thanks
"greetings, what is is the telegram channel for university",contacts
kindly am i registered,registration
can we chat {please} pls,greeting
"that's all i needed to know, goodbye for now",bye
kkindly list is the bed space fee,hostel
i need some urgent help with if there is a non-refundable application fee required before submitting my forms,admission
my friend asked me about where i need to take my bank slip to get financial clearance from the admin and i don't know the answer,fees
late sign up,registration
i would like to inquire: process for to letter for application,admission
im a freshman and i really need to know if the university website has a live chat feature for immediate customer service,contacts
"does anyone know thanks for your time, i am leaving the ssesion",bye
i have no idea if the weekend extension program follows the exact same semester calendar,schedule
i am trying to figure out if there is a comprehensive staff directory where i can find my prof's contact infoo today,contacts
i have no idea if the librery and cafeterias stay open during the mid semester reading week,holidays
schedule for will score be out,results
